Date,Open,High,Low,Close,Adj Close,Volume
1987-01-02,0.167535,0.169271,0.164931,0.165799,0.104767,12643200
1987-01-05,0.165799,0.177083,0.164931,0.175347,0.110801,48499200
1987-01-06,0.175347,0.178819,0.174479,0.177951,0.112446,40032000
1987-01-07,0.177951,0.187500,0.177951,0.187500,0.118480,60998400
1987-01-08,0.188368,0.195313,0.188368,0.193576,0.122319,61488000
1987-01-09,0.193576,0.202257,0.192708,0.201389,0.127256,63705600
1987-01-12,0.201389,0.216146,0.199653,0.214410,0.135484,128793600
1987-01-13,0.212674,0.212674,0.204861,0.208333,0.131644,76320000
1987-01-14,0.208333,0.209201,0.203993,0.208333,0.131644,69465600
1987-01-15,0.208333,0.224826,0.208333,0.219618,0.138775,117014400
1987-01-16,0.219618,0.219618,0.210069,0.214410,0.135484,65433600
1987-01-19,0.214410,0.222222,0.210069,0.222222,0.140421,88243200
1987-01-20,0.222222,0.230903,0.221354,0.225694,0.142615,95760000
1987-01-21,0.225694,0.241319,0.221354,0.235243,0.148648,108489600
1987-01-22,0.235243,0.259549,0.228299,0.258681,0.163459,116035200
1987-01-23,0.258681,0.269097,0.234375,0.234375,0.148100,317894400
1987-01-26,0.236111,0.241319,0.228299,0.238715,0.150842,116553600
1987-01-27,0.238715,0.251736,0.238715,0.248264,0.156876,114105600
1987-01-28,0.248264,0.252604,0.241319,0.249132,0.157425,76723200
1987-01-29,0.249132,0.251736,0.233507,0.238715,0.150842,79228800
1987-01-30,0.238715,0.254340,0.235243,0.253906,0.160442,104169600
1987-02-02,0.253906,0.258681,0.253472,0.253472,0.160167,46915200
1987-02-03,0.253472,0.256076,0.244792,0.249132,0.157425,59328000
1987-02-04,0.249132,0.250868,0.246528,0.250000,0.157973,31737600
1987-02-05,0.250000,0.251736,0.245660,0.248264,0.156876,42652800
1987-02-06,0.248264,0.249566,0.237847,0.239149,0.151117,45619200
1987-02-09,0.238715,0.238715,0.235677,0.236979,0.149745,136080000
1987-02-10,0.236979,0.237847,0.231771,0.237847,0.150294,44668800
1987-02-11,0.238715,0.249132,0.238715,0.249132,0.157425,60307200
1987-02-12,0.249132,0.267795,0.249132,0.266493,0.168395,185731200
1987-02-13,0.266493,0.269965,0.257813,0.263889,0.166750,81763200
1987-02-17,0.263889,0.266493,0.257813,0.265625,0.167847,70732800
1987-02-18,0.265625,0.269965,0.248264,0.249132,0.157425,128592000
1987-02-19,0.248264,0.248264,0.236111,0.238715,0.150842,317750400
1987-02-20,0.238715,0.238715,0.232639,0.236111,0.149197,87897600
1987-02-23,0.236111,0.254340,0.230903,0.250868,0.158522,125913600
1987-02-24,0.250868,0.263889,0.250868,0.263021,0.166201,120816000
1987-02-25,0.263021,0.267795,0.256944,0.258681,0.163459,65001600
1987-02-26,0.258681,0.276042,0.253472,0.268229,0.169492,145209600
1987-02-27,0.268229,0.269965,0.262153,0.266493,0.168395,37555200
1987-03-02,0.266493,0.266493,0.256944,0.258681,0.163459,79516800
1987-03-03,0.258681,0.261285,0.255208,0.258681,0.163459,81100800
1987-03-04,0.258681,0.277778,0.257813,0.276910,0.174978,98179200
1987-03-05,0.276910,0.296007,0.276910,0.289931,0.183206,128188800
1987-03-06,0.289931,0.291667,0.282118,0.289063,0.182657,63561600
1987-03-09,0.289063,0.289931,0.282118,0.283854,0.179365,38275200
1987-03-10,0.283854,0.296007,0.282986,0.292535,0.184851,74102400
